@relation sessions
@attribute Session integer
@attribute Actions integer
@attribute Time integer
@attribute PageAverageTime real
@attribute /ksc.html {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute / {True, False}
@data
758,2,96,48.0,True,True,True,True
759,5,464,92.8,True,True,True,True
762,2,31,15.5,True,True,True,True
765,5,108,21.6,True,True,True,True
767,14,1005,71.78571428571429,True,True,True,True
768,3,63,21.0,True,True,True,True
769,3,53,17.666666666666668,True,True,True,True
772,4,1609,402.25,True,True,True,True
773,5,862,172.4,True,True,True,True
775,3,73,24.333333333333332,True,True,True,True
776,2,13,6.5,True,True,True,True
778,4,41,10.25,True,True,True,True
780,2,20,10.0,True,True,True,True
784,2,12,6.0,True,True,True,True
787,3,21,7.0,True,True,True,True
788,8,877,109.625,True,True,True,True
791,3,18,6.0,True,True,True,True
792,2,36,18.0,True,True,True,True
793,3,40,13.333333333333334,True,True,True,True
795,3,42,14.0,True,True,True,True
798,3,91,30.333333333333332,True,True,True,True
799,2,13,6.5,True,True,True,True
801,3,405,135.0,True,True,True,True
804,4,181,45.25,True,True,True,True
805,2,18,9.0,True,True,True,True
806,3,117,39.0,True,True,True,True
807,4,126,31.5,True,True,True,True
808,2,24,12.0,True,True,True,True
810,6,878,146.33333333333334,True,True,True,True
812,8,1404,175.5,True,True,True,True
818,2,39,19.5,True,True,True,True
820,4,376,94.0,True,True,True,True
823,2,41,20.5,True,True,True,True
824,4,148,37.0,True,True,True,True
826,8,665,83.125,True,True,True,True
828,2,237,118.5,True,True,True,True
830,2,13,6.5,True,True,True,True
836,2,28,14.0,True,True,True,True
840,4,1312,328.0,True,True,True,True
841,5,198,39.6,True,True,True,True
842,5,1481,296.2,True,True,True,True
843,5,67,13.4,True,True,True,True
846,7,226,32.285714285714285,True,True,True,True
852,2,23,11.5,True,True,True,True
854,3,50,16.666666666666668,True,True,True,True
860,2,69,34.5,True,True,True,True
864,3,468,156.0,True,True,True,True
865,4,522,130.5,True,True,True,True
866,5,377,75.4,True,True,True,True
868,2,11,5.5,True,True,True,True
869,5,247,49.4,True,True,True,True
870,6,792,132.0,True,True,True,True
874,3,46,15.333333333333334,True,True,True,True
875,4,111,27.75,True,True,True,True
878,2,323,161.5,True,True,True,True
879,2,62,31.0,True,True,True,True
887,6,1136,189.33333333333334,True,True,True,True
888,9,1601,177.88888888888889,True,True,True,True
889,8,741,92.625,True,True,True,True
895,2,1342,671.0,True,True,True,True
901,2,231,115.5,True,True,True,True
904,2,47,23.5,True,True,True,True
905,3,65,21.666666666666668,True,True,True,True
906,6,108,18.0,True,True,True,True
908,5,311,62.2,True,True,True,True
910,3,75,25.0,True,True,True,True
913,2,30,15.0,True,True,True,True
915,3,130,43.333333333333336,True,True,True,True
916,4,166,41.5,True,True,True,True
917,9,367,40.77777777777778,True,True,True,True
918,7,632,90.28571428571429,True,True,True,True
920,4,131,32.75,True,True,True,True
924,2,41,20.5,True,True,True,True
929,9,995,110.55555555555556,True,True,True,True
932,2,76,38.0,True,True,True,True
933,5,732,146.4,True,True,True,True
936,3,110,36.666666666666664,True,True,True,True
939,3,108,36.0,True,True,True,True
947,10,554,55.4,True,True,True,True
952,10,918,91.8,True,True,True,True
953,12,821,68.41666666666667,True,True,True,True
955,7,345,49.285714285714285,True,True,True,True
958,4,481,120.25,True,True,True,True
964,3,1355,451.6666666666667,True,True,True,True
969,2,813,406.5,True,True,True,True
977,4,494,123.5,True,True,True,True
981,2,380,190.0,True,True,True,True
1011,2,59,29.5,True,True,True,True
1012,4,579,144.75,True,True,True,True
1015,3,75,25.0,True,True,True,True
1018,4,40,10.0,True,True,True,True
1020,4,97,24.25,True,True,True,True
1023,6,298,49.666666666666664,True,True,True,True
1030,2,24,12.0,True,True,True,True
1036,4,156,39.0,True,True,True,True
1048,2,20,10.0,True,True,True,True
1065,2,869,434.5,True,True,True,True
1091,4,179,44.75,True,True,True,True
1092,3,15,5.0,True,True,True,True
1093,5,193,38.6,True,True,True,True
1094,4,34,8.5,True,True,True,True
1095,4,63,15.75,True,True,True,True
1096,5,68,13.6,True,True,True,True
1097,5,87,17.4,True,True,True,True
1098,2,17,8.5,True,True,True,True
1099,4,40,10.0,True,True,True,True
1100,2,5,2.5,True,True,True,True
1102,10,393,39.3,True,True,True,True
